entity_id	valid	rejected	polled	electors	UPFA	UNP	DNA	ITAK	UPF	TMVP	SMBP	TULF	AITC	DPLF	SLNF	IG4B	EDF	EPDP	ONF	UNAF	ELPP	LLF	USP	IG4J	PERLF	IG2G	JSP	UDF	IG6B	IG8B	DUA	IG3J	IG6J	ELMS	PNF	IG6G	IG5J	IG5M	SEP	SLLP	OWORS	IG8K	IG5B	IG9G	IG7G	IG9V	IG7J	IG5N	IG2M	IG4M	IG9K	IG2J	IG5G	IG5K	NPP	IG9J	IG4K	IG1A	IG1K	IG3K	MNA	OWO	IG6D	TLP	IG9M	MLF	IG1M	IG4H	IG3M	IG8D	IG7K	RJP	IG7M	IG1B	IG7T	IG6A	IG8M	IG8J	IG7A	IG6M	AITUF	J	IG1J	IG3B	IG3G	IG2K	IG6K	IG9D	IG8G	IG7C	CDUA	IG9B	IG4G	IG5A	IG8C	IG5P	IG7V	IG8R	IG2A	IG1H	IG3T	IG3A	IG2R	IG2B	IG3H	IG9N	IG7R	IG9R	IG4C	IG9C	IG3R	IG8P	IG7P	IG1G	IG6T	IG4P	IG2C	IG9P	IG8V	IG6P	IG2V	IG5T	IG7B	IG6N	IG3N	IG2P	IG1R	IG5V	IG3C	IG6V	IG2H	IG2N	IG1C	IG3P	IG4R	IG5D	IG5R	IG6C	NSU	IG4T	IG1P	IG3D	IG7N	IG4N	IG2D	IG5C	IG9T	IG4V	IG2T	IG1T	IG1N	OWOS	IG4A	IG4D	IG3V	IG1D	IG8N	IG6R	IG8T	IG1V	IG7D	JS	OORS
EC-01J	95197.00000000003	4193.0	99449.99999999999	158735.99999999997	56539.00000000001	23545.999999999996	14459.999999999998	0	0	0	1.9999999999999998	9.000000000000002	0	0	230.99999999999991	0	0	0	43.0	18.000000000000004	187.99999999999997	21.000000000000004	13.999999999999998	0	0	0	9.000000000000002	7.999999999999999	0	0	0	0	0	3.9999999999999996	3.9999999999999996	0	0	0	13.999999999999998	5.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0000000000000004	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.999999999999998	3.0000000000000004	0	0	0	12.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0000000000000004	1.9999999999999998	0	0	0	0	0	0	3.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	3.9999999999999996	0	0	0	1.9999999999999998	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01K	64748.000000000015	4225.000000000001	69034.99999999994	108138.0	42259.00000000002	16730.000000000004	5432.0	0	0	0	0.9999999999999999	5.000000000000001	0	0	14.999999999999995	0	0	0	21.000000000000014	18.999999999999986	117.99999999999999	20.000000000000004	21.000000000000014	0	0	0	0.9999999999999999	10.999999999999998	0	0	0	0	0	0.9999999999999999	0.0	0	0	0	6.000000000000002	3.9999999999999996	18.999999999999986	0	0	0	0	0	0	0	0	0	0	0	0	0	3.000000000000001	0	0	0	0	0	8.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9999999999999998	1.9999999999999998	0	0	0	3.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9999999999999998	3.9999999999999996	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	6.000000000000002	0	0	0	1.9999999999999998	0	0	0	0	0.0	0	0	0	0	0	0	0	1.9999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01L	95255.00000000003	4205.999999999999	99517.0	155719.9999999999	57950.99999999999	26841.0	10102.999999999993	0	0	0	3.0	7.0	0	0	42.0	0	0	0	40.99999999999999	24.0	121.00000000000003	18.999999999999996	8.999999999999998	0	0	0	2.0	7.0	0	0	0	0	0	2.0	1.0	0	0	0	11.000000000000002	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	9.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.999999999999999	1.0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	3.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	3.0	0	0	0	0	4.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
EC-01M	75804.00000000003	3013.9999999999995	78861.0	121247.00000000004	44200.0	18937.0	12313.0	0	0	0	5.000000000000001	11.000000000000002	0	0	60.0	0	0	0	36.999999999999986	9.0	125.00000000000001	23.000000000000007	11.999999999999996	0	0	0	5.999999999999998	5.999999999999998	0	0	0	0	0	5.000000000000001	1.0	0	0	0	11.000000000000002	2.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	5.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01N	96116.99999999997	4159.999999999999	100339.0	148696.0	60138.99999999999	21952.999999999996	13532.0	0	0	0	1.0000000000000002	16.000000000000004	0	0	82.00000000000001	0	0	0	38.99999999999999	11.000000000000002	180.00000000000009	25.999999999999993	17.000000000000004	0	0	0	6.999999999999999	4.999999999999999	0	0	0	0	0	6.999999999999999	4.000000000000001	0	0	0	12.999999999999996	1.0000000000000002	16.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0000000000000004	0	0	0	0	0	17.000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.999999999999999	1.0000000000000002	0	0	0	4.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	4.000000000000001	1.0000000000000002	0	0	0	0	0	0	1.0000000000000002	0	0	0	0	0	0	0	0	0	0	0	1.0000000000000002	0	0	0	4.000000000000001	0	0	0	0	4.000000000000001	0	0	0	0	0	0	0	2.0000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01O	74484.0	3725.0000000000005	78242.0	114601.0	40368.99999999999	25356.0	8158.999999999999	0	0	0	3.0000000000000004	32.99999999999999	0	0	191.00000000000006	0	0	0	41.00000000000001	24.999999999999996	91.99999999999999	30.000000000000004	20.0	0	0	0	11.000000000000002	15.000000000000002	0	0	0	0	0	31.000000000000004	1.0	0	0	0	11.000000000000002	3.0000000000000004	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	14.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.000000000000004	1.0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	5.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	2.0	0	0	0	0	0.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01P	19506	551	20063	20603	12637	3885	2896	0	0	0	0	9	0	0	13	0	0	0	4	1	21	10	5	0	0	0	4	1	0	0	0	0	0	1	1	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02	929731.0000000006	50234.00000000001	980467.0000000008	1506968.9999999981	589476.0000000007	266523.00000000023	69746.99999999993	0	0	0	0	0	0	0	625.0000000000001	0	0	0	0	229.0000000000001	0	0	0	0	0	1469.0000000000002	173.00000000000014	134.0000000000001	0	0	0	0	0	30.99999999999999	66.0000000000001	42.00000000000002	0	0	0	79.00000000000006	40.00000000000008	0	0	279.00000000000006	45.00000000000001	0	0	0	0	0	0	0	64.99999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.00000000000001	0	0	0	75.99999999999996	0	0	0	39.000000000000064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02A	63425.00000000002	4328.000000000001	67784.0	103893.0	31443.999999999996	26659.000000000015	4928.999999999998	0	0	0	0	0	0	0	86.99999999999999	0	0	0	0	24.00000000000001	0	0	0	0	0	166.0	8.999999999999998	7.999999999999999	0	0	0	0	0	3.0000000000000013	6.000000000000003	3.0000000000000013	0	0	0	0.9999999999999999	6.000000000000003	0	0	15.999999999999998	5.0	0	0	0	0	0	0	0	10.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999999999999	0	0	0	5.0	0	0	0	6.000000000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02B	54013.99999999999	3710.999999999999	57750.0	96028.00000000003	26076.0	23987.0	3463.000000000001	0	0	0	0	0	0	0	18.999999999999993	0	0	0	0	13.000000000000002	0	0	0	0	0	239.00000000000003	50.000000000000014	8.0	0	0	0	0	0	3.0	5.000000000000001	6.0	0	0	0	8.0	1.0	0	0	18.999999999999993	1.0	0	0	0	0	0	0	0	5.000000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	4.0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02C	78580.0	5020.999999999999	83620.99999999997	127420.99999999996	49765.99999999998	22918.999999999993	5228.000000000001	0	0	0	0	0	0	0	52.0	0	0	0	0	21.99999999999999	0	0	0	0	0	418.00000000000006	12.000000000000004	10.0	0	0	0	0	0	3.000000000000001	3.000000000000001	3.000000000000001	0	0	0	6.000000000000002	1.9999999999999996	0	0	26.999999999999996	6.000000000000002	0	0	0	0	0	0	0	10.999999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.999999999999998	0	0	0	17.999999999999996	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02D	60159.0	4016.9999999999995	64190.99999999999	99742.00000000004	38957.00000000002	18026.0	2931.0	0	0	0	0	0	0	0	63.99999999999999	0	0	0	0	12.0	0	0	0	0	0	65.0	3.9999999999999996	3.9999999999999996	0	0	0	0	0	1.9999999999999998	3.9999999999999996	1.9999999999999998	0	0	0	3.0	3.9999999999999996	0	0	17.999999999999986	0.0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9999999999999998	0	0	0	6.0	0	0	0	1.9999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02E	68083.99999999997	3522.0000000000005	71671.99999999996	114566.00000000001	45428.00000000001	17971.000000000004	4491.0	0	0	0	0	0	0	0	62.99999999999999	0	0	0	0	11.999999999999996	0	0	0	0	0	14.999999999999998	10.000000000000004	10.000000000000004	0	0	0	0	0	3.9999999999999987	2.999999999999999	3.9999999999999987	0	0	0	0.9999999999999997	5.000000000000002	0	0	23.999999999999993	2.999999999999999	0	0	0	0	0	0	0	2.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.000000000000002	0	0	0	5.999999999999998	0	0	0	2.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02F	73876.99999999999	3675.0	77614.00000000003	120859.99999999996	49032.99999999999	19295.000000000007	5270.000000000003	0	0	0	0	0	0	0	30.999999999999996	0	0	0	0	13.0	0	0	0	0	0	91.00000000000003	13.0	14.000000000000002	0	0	0	0	0	3.0000000000000027	5.000000000000003	1.9999999999999991	0	0	0	5.000000000000003	1.9999999999999991	0	0	30.0	3.9999999999999982	0	0	0	0	0	0	0	0.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0000000000000027	0	0	0	9.000000000000004	0	0	0	1.9999999999999991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02G	72914.0	3773.999999999999	76721.99999999997	120899.99999999994	51171.999999999985	15912.000000000013	5626.000000000001	0	0	0	0	0	0	0	36.0	0	0	0	0	22.000000000000004	0	0	0	0	0	4.999999999999998	22.000000000000004	12.999999999999998	0	0	0	0	0	0.9999999999999998	5.999999999999997	2.9999999999999987	0	0	0	3.999999999999999	0.9999999999999998	0	0	22.999999999999993	2.9999999999999987	0	0	0	0	0	0	0	1.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	5.999999999999997	0	0	0	3.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-02H	83697.99999999997	3929.9999999999995	87697.99999999999	133606.00000000003	58267.99999999997	17975.999999999996	7187.999999999997	0	0	0	0	0	0	0	68.99999999999999	0	0	0	0	21.000000000000007	0	0	0	0	0	47.00000000000001	11.999999999999998	13.000000000000002	0	0	0	0	0	1.9999999999999998	6.999999999999999	2.9999999999999996	0	0	0	8.999999999999998	2.9999999999999996	0	0	25.0	3.9999999999999996	0	0	0	0	0	0	0	7.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.999999999999999	0	0	0	1.9999999999999998	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
